Date,Open,High,Low,Close,Volume,Currency,Price Movement
31-12-2019,97.01721191,98.64949036,94.54247284,97.0788269,533536931,USD,Increase
01-01-2020,97.0788269,99.84942627,96.41432953,97.20179749,450643882,USD,Increase
02-01-2020,97.23760223,97.74055481,92.70539093,92.83791351,424249976,USD,Decrease
03-01-2020,93.0845108,103.8891678,92.11457825,102.6099625,697088052,USD,Increase
04-01-2020,102.6998749,110.2143097,102.4686508,109.6670914,712444844,USD,Increase
05-01-2020,109.675209,114.7617416,109.2396011,110.8650894,650101885,USD,Increase
06-01-2020,110.9914246,117.9483261,110.3549042,117.8140411,796700319,USD,Increase
07-01-2020,117.7525024,118.6575394,110.7052536,114.0628128,776247251,USD,Decrease
08-01-2020,114.0628128,116.1369247,111.3048706,114.1733704,762929032,USD,Increase
09-01-2020,114.1140823,118.3463364,112.7740097,117.7422943,679848557,USD,Increase
10-01-2020,117.6565704,172.7569427,116.6746445,171.1642303,1782635151,USD,Increase
11-01-2020,171.0756531,175.6250305,149.3019409,150.7318726,1779222123,USD,Decrease
12-01-2020,151.3286285,168.8140411,148.5810699,165.0128021,1360791215,USD,Increase
13-01-2020,164.8852539,174.6592102,159.9598999,174.3273621,1227224459,USD,Increase
14-01-2020,173.8060608,441.1965637,173.5840912,422.7356873,7460265156,USD,Increase
15-01-2020,420.6819458,421.5262756,285.6822205,312.7556458,5432389775,USD,Decrease
16-01-2020,312.0617981,333.8732605,282.2265625,312.8806763,3966458240,USD,Increase
17-01-2020,313.3834534,330.3887634,274.0141602,286.4017944,3565786206,USD,Decrease
18-01-2020,286.5119324,297.5357056,245.1820831,249.1907196,3246126279,USD,Decrease
19-01-2020,249.9074097,276.9186401,238.8455353,276.9186401,3190579995,USD,Increase
20-01-2020,278.0603333,320.6426086,264.6915283,301.6965942,3279329941,USD,Increase
21-01-2020,300.7888184,323.3013306,290.9819031,314.52771,2836183879,USD,Increase
22-01-2020,314.793335,322.1907654,299.273468,308.9052734,2192284387,USD,Decrease
23-01-2020,308.5447388,308.585022,248.2833862,259.1357727,2643222739,USD,Decrease
24-01-2020,259.0895081,281.4699402,247.2959137,266.975769,2733224386,USD,Increase
25-01-2020,266.4119873,270.3371887,253.4713135,261.8514404,1764624059,USD,Decrease
26-01-2020,261.6226501,277.2640991,254.8527374,274.1991882,2003477064,USD,Increase
27-01-2020,274.2621155,318.7865295,274.1022644,300.3503113,3260926617,USD,Increase
28-01-2020,300.1286926,311.1367493,279.4581909,294.7631226,2987485223,USD,Decrease
29-01-2020,294.9683838,303.9039307,282.6755676,287.9704285,2955203277,USD,Decrease
30-01-2020,287.4692383,306.6995239,284.5903625,298.8234253,2639457631,USD,Increase
31-01-2020,298.7815552,298.9177246,265.0791626,272.3962097,2306111736,USD,Decrease
01-02-2020,272.9117432,288.0604553,270.9261169,278.6494446,2045188904,USD,Increase
02-02-2020,278.0517883,286.1499023,271.8634338,276.7426147,1947042982,USD,Decrease
03-02-2020,276.7426147,285.4448853,275.1427002,280.7286072,1966449392,USD,Increase
04-02-2020,280.6349792,282.7148438,267.8049011,272.0567322,1848976319,USD,Decrease
05-02-2020,271.9516296,304.3865356,269.1757813,298.8831787,2723740891,USD,Increase
06-02-2020,299.4275208,306.2124939,292.5310669,295.6504211,2403576503,USD,Decrease
07-02-2020,295.6661072,302.5376587,290.624115,295.7012024,2039225645,USD,Increase
08-02-2020,295.6715698,346.1575317,290.3830261,336.2476501,3637921786,USD,Increase
09-02-2020,336.2753906,366.3366394,331.7277222,350.0896301,3583539558,USD,Increase
10-02-2020,350.8322754,355.5209045,339.3374023,352.3561401,3169406345,USD,Increase
11-02-2020,352.6224976,366.1286316,346.5242615,363.3983154,2971745227,USD,Increase
12-02-2020,363.4389648,375.72052,363.0080261,366.7179565,3020567588,USD,Increase
13-02-2020,366.0350037,379.498291,349.769928,359.0411377,3334653510,USD,Decrease
14-02-2020,359.2623291,363.0606995,349.5075073,360.3900146,2708978354,USD,Increase
15-02-2020,360.5624695,361.6252136,304.586731,310.0778198,2841930815,USD,Decrease
16-02-2020,310.4044189,321.4404297,266.8467102,285.8675232,3044207063,USD,Decrease
17-02-2020,285.4216309,315.4084167,257.0706177,309.4416199,3724652669,USD,Increase
18-02-2020,309.5077515,322.960968,290.2191467,309.1070557,3499501110,USD,Decrease
19-02-2020,309.2344666,314.451355,288.7273865,288.7273865,2781178232,USD,Decrease
20-02-2020,287.2167664,305.2005615,280.1481323,285.4997253,2927371823,USD,Decrease
21-02-2020,285.5087891,293.9132385,283.296051,289.4433899,2282759105,USD,Increase
22-02-2020,289.4447327,290.2752075,276.6158752,280.4067993,2094451769,USD,Decrease
23-02-2020,280.5297852,294.5535278,280.0682983,294.3893738,2241456507,USD,Increase
24-02-2020,294.4768982,298.4317932,270.2789001,277.3788147,2390831344,USD,Decrease
25-02-2020,277.4909973,278.3526611,256.5889587,259.7648621,2300066161,USD,Decrease
26-02-2020,259.5776367,259.6699524,215.1181335,225.0285492,3532653944,USD,Decrease
27-02-2020,225.010849,233.8022461,217.0490112,226.5533905,2584680224,USD,Increase
28-02-2020,226.7797699,230.7732697,210.5327301,215.9731445,2325970138,USD,Decrease
29-02-2020,215.8258362,220.7040863,209.6308441,212.2919922,1925700287,USD,Decrease
01-03-2020,212.3227081,228.7323456,212.1737061,228.5179138,2461691016,USD,Increase
02-03-2020,228.5228882,258.1128845,227.1610413,251.4146881,2887136059,USD,Increase
03-03-2020,251.6865082,253.9811859,242.1954346,246.4846649,2741753419,USD,Decrease
04-03-2020,246.4846649,247.883316,224.8568115,231.2154236,2142182865,USD,Decrease
05-03-2020,231.3993988,247.8124084,231.3993988,240.6180267,2431717715,USD,Increase
06-03-2020,240.8335266,248.5546265,238.2225037,245.0747528,2260275207,USD,Increase
07-03-2020,245.3188477,245.6841125,229.1902008,234.2283173,1910397713,USD,Decrease
08-03-2020,234.2283173,234.2283173,196.3272858,197.9492645,2252966254,USD,Decrease
09-03-2020,197.889801,201.358902,189.0722656,199.1755524,2510235141,USD,Increase
10-03-2020,199.2036285,202.2822571,194.5046082,198.830719,1893086091,USD,Decrease
11-03-2020,198.809433,200.5629883,177.2285156,190.5147095,1783158747,USD,Decrease
12-03-2020,190.2435455,191.2668915,107.1036377,108.7858276,2540501992,USD,Decrease
13-03-2020,108.717247,125.8624496,88.07146454,120.8989563,3495044246,USD,Increase
14-03-2020,121.0816803,125.1482849,115.0200195,116.3063431,1739920784,USD,Decrease
15-03-2020,116.0969772,128.5764771,115.0040359,122.9458923,1596193505,USD,Increase
16-03-2020,122.8783722,124.4654541,102.0954742,109.5854187,2143129008,USD,Decrease
17-03-2020,109.7402344,121.7771835,109.7122345,117.005394,1846959345,USD,Increase
18-03-2020,116.5786362,119.3464203,112.2224579,119.3464203,1592444482,USD,Increase
19-03-2020,119.5898438,166.3877106,118.0984344,156.3201599,3116861239,USD,Increase
20-03-2020,156.441452,175.5068054,149.5070496,160.3318481,3784711874,USD,Increase
21-03-2020,160.5859375,171.5386047,157.0805969,167.6957397,3036999420,USD,Increase
22-03-2020,167.8018799,182.0267792,156.6147614,157.7841034,3365019330,USD,Decrease
23-03-2020,157.7841034,169.425293,155.6199799,168.5083923,3149579336,USD,Increase
24-03-2020,168.6452484,180.6903381,168.6398315,177.955246,2977423446,USD,Increase
25-03-2020,178.2603302,178.2603302,169.5289459,172.9514618,2618004667,USD,Decrease
26-03-2020,172.9514618,174.8734894,167.2359314,172.529541,1996685072,USD,Decrease
27-03-2020,172.7297363,176.5881805,166.7953186,166.7953186,1904035736,USD,Decrease
28-03-2020,166.7077332,166.7077332,151.3918457,157.0191193,2095536391,USD,Decrease
29-03-2020,157.2249603,157.9924469,148.3920898,148.3920898,1543375850,USD,Decrease
30-03-2020,147.6717834,170.8555145,146.95047,166.4355316,2283127949,USD,Increase
